job,marital,default,housing,loan,contact,month,poutcome,deposit
admin.,married,no,yes,no,cellular,apr,unknown,yes
management,divorced,no,no,no,cellular,apr,unknown,yes
retired,married,no,no,no,cellular,apr,unknown,yes
self-employed,married,no,no,no,cellular,apr,unknown,yes
admin.,single,no,yes,no,cellular,apr,unknown,yes
blue-collar,married,no,yes,no,cellular,apr,other,yes
blue-collar,married,no,yes,no,cellular,apr,unknown,yes
admin.,married,no,yes,no,cellular,apr,failure,yes
technician,single,no,no,no,cellular,apr,unknown,yes
technician,single,no,yes,no,cellular,apr,unknown,yes
management,married,no,no,no,cellular,apr,unknown,yes
admin.,single,no,no,no,cellular,apr,unknown,yes
unemployed,married,no,no,no,cellular,apr,unknown,yes
retired,married,no,no,no,cellular,apr,unknown,yes
services,married,no,yes,no,cellular,apr,success,yes
technician,married,no,yes,no,cellular,apr,failure,yes
management,married,no,no,no,cellular,apr,failure,yes
management,married,no,yes,no,cellular,apr,unknown,yes
student,single,no,no,no,cellular,apr,unknown,yes
unemployed,single,no,no,no,cellular,apr,success,yes
retired,married,no,no,no,cellular,apr,unknown,yes
technician,married,no,no,no,cellular,apr,unknown,yes
retired,divorced,no,yes,no,cellular,apr,unknown,yes
blue-collar,married,no,yes,no,cellular,apr,success,yes
admin.,married,no,no,no,cellular,apr,success,yes
student,single,no,no,no,cellular,apr,unknown,yes
student,single,no,no,no,cellular,apr,success,yes
blue-collar,married,no,yes,no,cellular,apr,unknown,yes
management,single,no,no,no,cellular,apr,success,yes
management,single,no,no,no,cellular,apr,unknown,yes
technician,married,no,no,no,cellular,apr,unknown,yes
admin.,married,no,yes,no,cellular,apr,unknown,yes
technician,married,no,no,no,cellular,apr,other,yes
management,divorced,no,no,no,cellular,apr,success,yes
blue-collar,married,no,yes,no,cellular,apr,unknown,yes
blue-collar,married,no,no,no,cellular,apr,success,yes
self-employed,married,no,yes,yes,cellular,apr,unknown,yes
technician,married,no,no,no,cellular,apr,unknown,yes
admin.,divorced,no,no,no,cellular,apr,other,yes
technician,married,no,no,no,cellular,apr,success,yes
blue-collar,married,no,yes,no,cellular,apr,failure,yes
self-employed,divorced,no,yes,no,cellular,apr,other,yes
blue-collar,married,no,no,no,cellular,apr,unknown,yes
student,single,no,no,no,cellular,apr,unknown,yes
unknown,married,no,no,no,cellular,apr,failure,yes
management,single,no,no,no,cellular,apr,unknown,yes
admin.,single,no,no,yes,cellular,apr,unknown,yes
management,single,no,no,no,cellular,apr,success,yes
technician,married,no,no,no,cellular,apr,other,yes
services,married,no,no,no,cellular,apr,unknown,yes
retired,married,no,no,no,cellular,apr,unknown,yes
management,single,no,yes,no,cellular,apr,success,yes
technician,married,no,no,no,cellular,apr,unknown,yes
management,married,no,yes,no,cellular,apr,failure,yes
management,married,no,no,no,cellular,apr,unknown,yes
admin.,single,no,no,no,cellular,apr,failure,yes
technician,single,no,no,no,cellular,apr,unknown,yes
blue-collar,single,no,yes,yes,cellular,apr,failure,yes
management,married,no,yes,no,cellular,apr,failure,yes
management,married,no,no,no,cellular,apr,failure,yes
management,married,no,no,no,cellular,apr,success,yes
services,married,no,no,no,cellular,apr,unknown,yes
management,single,no,no,no,cellular,apr,unknown,yes
admin.,single,no,no,no,cellular,apr,success,yes
technician,single,no,yes,no,cellular,apr,unknown,yes
admin.,single,no,no,no,cellular,apr,unknown,yes
management,single,no,no,no,cellular,apr,unknown,yes
unemployed,single,no,no,no,cellular,apr,unknown,yes
technician,married,no,yes,no,cellular,apr,unknown,yes
technician,single,no,no,no,cellular,apr,unknown,yes
admin.,single,no,no,no,cellular,apr,success,yes
management,married,no,no,no,cellular,apr,unknown,yes
self-employed,married,no,no,no,telephone,apr,unknown,yes
management,married,no,no,no,cellular,apr,success,yes
self-employed,single,no,no,no,cellular,apr,unknown,yes
technician,single,no,no,no,cellular,apr,success,yes
management,single,no,no,no,cellular,apr,unknown,yes
services,single,no,no,no,cellular,apr,unknown,yes
student,single,no,no,no,cellular,apr,unknown,yes
management,single,no,no,no,cellular,apr,unknown,yes
management,single,no,no,no,cellular,apr,success,yes
student,single,no,no,no,cellular,apr,unknown,yes
admin.,single,no,yes,yes,cellular,apr,unknown,yes
technician,single,no,no,no,cellular,apr,unknown,yes
management,married,no,no,no,cellular,apr,unknown,yes
management,single,no,no,no,cellular,apr,success,yes
technician,divorced,no,yes,no,cellular,apr,success,yes
technician,married,no,no,no,cellular,apr,unknown,yes
admin.,married,no,no,no,cellular,apr,unknown,yes
management,married,no,yes,no,cellular,apr,unknown,yes
services,married,no,no,no,cellular,apr,unknown,yes
student,single,no,no,no,cellular,apr,unknown,yes
management,married,no,no,no,cellular,apr,failure,yes
entrepreneur,single,no,no,no,cellular,apr,unknown,yes
blue-collar,married,no,yes,no,cellular,apr,failure,yes
management,single,no,no,no,cellular,apr,unknown,yes
technician,married,no,no,no,cellular,apr,unknown,yes
management,single,no,no,no,cellular,apr,unknown,yes
admin.,married,no,no,no,cellular,apr,unknown,yes
admin.,single,no,no,no,cellular,apr,unknown,yes
technician,single,no,no,no,cellular,apr,unknown,yes
retired,married,no,no,no,cellular,apr,unknown,yes
management,single,no,no,no,cellular,apr,unknown,yes
management,married,no,no,no,cellular,apr,other,yes
blue-collar,single,no,no,no,cellular,apr,unknown,yes
blue-collar,single,no,no,no,cellular,apr,success,yes
management,married,no,yes,no,cellular,apr,other,yes
retired,divorced,no,no,no,cellular,apr,unknown,yes
admin.,single,no,no,no,cellular,apr,unknown,yes
technician,married,no,no,no,telephone,apr,success,yes
technician,married,no,no,no,cellular,apr,unknown,yes
admin.,single,no,no,no,cellular,apr,unknown,yes
management,single,no,no,no,cellular,apr,success,yes
student,single,no,no,no,cellular,apr,unknown,yes
management,single,no,yes,no,cellular,apr,unknown,yes
management,married,no,no,no,telephone,apr,unknown,yes
blue-collar,single,no,yes,yes,cellular,apr,other,yes
admin.,single,no,no,no,cellular,apr,success,yes
blue-collar,married,no,no,no,cellular,may,unknown,yes
management,single,no,no,no,cellular,may,unknown,yes
unemployed,single,no,no,no,cellular,may,failure,yes
management,single,no,no,no,cellular,may,failure,yes
technician,married,no,no,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
student,single,no,no,no,cellular,may,unknown,yes
blue-collar,married,no,no,no,cellular,may,success,yes
technician,divorced,no,yes,no,cellular,may,success,yes
technician,married,no,no,no,cellular,may,success,yes
management,married,no,no,no,telephone,may,success,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,success,yes
admin.,married,no,no,no,cellular,may,unknown,yes
technician,married,no,no,no,cellular,may,failure,yes
technician,married,no,yes,no,cellular,may,unknown,yes
technician,married,no,no,no,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,other,yes
student,single,no,no,no,cellular,may,success,yes
self-employed,married,no,yes,yes,cellular,may,success,yes
technician,married,no,no,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,failure,yes
management,divorced,no,yes,no,cellular,may,unknown,yes
self-employed,married,no,no,no,cellular,may,success,yes
technician,married,no,yes,no,cellular,may,unknown,yes
self-employed,divorced,no,no,no,cellular,may,unknown,yes
self-employed,married,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,failure,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,no,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,failure,yes
management,single,no,no,no,cellular,may,unknown,yes
management,married,no,no,no,telephone,may,unknown,yes
retired,married,no,no,no,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,unknown,yes
student,single,no,no,no,cellular,may,unknown,yes
management,single,no,no,no,cellular,may,unknown,yes
student,single,no,no,no,telephone,may,unknown,yes
entrepreneur,married,no,no,no,cellular,may,failure,yes
technician,married,no,no,no,telephone,may,unknown,yes
blue-collar,married,no,no,no,cellular,may,unknown,yes
retired,divorced,no,no,no,cellular,may,success,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
services,divorced,no,yes,no,cellular,may,unknown,yes
student,single,no,yes,no,cellular,may,success,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
admin.,married,no,yes,yes,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,failure,yes
self-employed,single,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
technician,single,no,yes,yes,cellular,may,failure,yes
admin.,married,no,yes,no,cellular,may,other,yes
admin.,married,no,yes,yes,cellular,may,success,yes
technician,divorced,yes,no,no,cellular,may,unknown,yes
self-employed,single,no,yes,no,cellular,may,unknown,yes
technician,divorced,no,yes,no,cellular,may,failure,yes
technician,single,no,yes,yes,cellular,may,unknown,yes
management,divorced,no,yes,yes,cellular,may,failure,yes
entrepreneur,married,no,yes,no,cellular,may,failure,yes
blue-collar,single,no,yes,yes,cellular,may,unknown,yes
admin.,married,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,success,yes
admin.,married,no,yes,no,cellular,may,failure,yes
management,married,no,yes,no,cellular,may,failure,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,failure,yes
management,married,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,yes,cellular,may,failure,yes
management,married,no,yes,yes,cellular,may,failure,yes
management,married,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,yes,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,failure,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,failure,yes
management,single,no,yes,yes,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,success,yes
admin.,single,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,yes,cellular,may,other,yes
technician,married,no,yes,no,cellular,may,unknown,yes
admin.,married,no,no,no,cellular,may,other,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,failure,yes
management,married,no,yes,no,cellular,may,success,yes
admin.,single,no,yes,no,cellular,may,failure,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
housemaid,married,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,other,yes
unemployed,married,no,yes,no,cellular,may,failure,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
admin.,married,yes,yes,yes,cellular,may,other,yes
services,divorced,no,yes,yes,cellular,may,failure,yes
technician,divorced,no,yes,no,cellular,may,unknown,yes
blue-collar,divorced,no,yes,no,cellular,may,failure,yes
admin.,single,no,yes,no,cellular,may,failure,yes
technician,single,no,yes,no,cellular,may,unknown,yes
admin.,married,no,yes,no,cellular,may,failure,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,success,yes
blue-collar,divorced,no,yes,yes,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,yes,cellular,may,success,yes
technician,single,no,yes,no,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,unknown,yes
blue-collar,divorced,no,yes,yes,cellular,may,unknown,yes
admin.,divorced,no,no,no,cellular,may,unknown,yes
retired,married,no,yes,yes,cellular,may,other,yes
retired,married,no,no,yes,telephone,may,failure,yes
management,married,no,yes,yes,cellular,may,failure,yes
self-employed,single,no,yes,no,cellular,may,unknown,yes
self-employed,married,no,yes,no,cellular,may,unknown,yes
admin.,single,no,yes,yes,cellular,may,failure,yes
management,divorced,no,yes,no,cellular,may,failure,yes
services,married,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,no,no,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,failure,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
student,single,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,other,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
admin.,divorced,no,yes,no,cellular,may,unknown,yes
entrepreneur,married,no,yes,no,cellular,may,unknown,yes
admin.,divorced,no,yes,no,cellular,may,failure,yes
housemaid,single,no,yes,no,cellular,may,failure,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
admin.,married,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,no,yes,yes,cellular,may,unknown,yes
entrepreneur,married,no,yes,no,cellular,may,unknown,yes
services,divorced,no,yes,no,cellular,may,other,yes
blue-collar,married,no,yes,yes,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,other,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,failure,yes
admin.,married,no,yes,no,cellular,may,failure,yes
blue-collar,divorced,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,success,yes
blue-collar,single,no,yes,no,cellular,may,success,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
admin.,married,no,yes,yes,cellular,may,other,yes
services,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,success,yes
blue-collar,married,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,no,yes,yes,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,other,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
technician,married,no,yes,yes,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,unknown,yes
self-employed,divorced,no,yes,no,cellular,may,unknown,yes
admin.,married,no,yes,no,telephone,may,success,yes
blue-collar,married,no,no,yes,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,failure,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
housemaid,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,no,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
housemaid,single,no,yes,no,cellular,may,unknown,yes
technician,married,no,yes,no,cellular,may,failure,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
admin.,divorced,no,yes,no,cellular,may,success,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,yes,cellular,may,failure,yes
management,married,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,failure,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
admin.,divorced,no,yes,no,cellular,may,unknown,yes
admin.,married,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,unknown,yes
services,divorced,no,yes,yes,cellular,may,unknown,yes
blue-collar,single,no,yes,no,telephone,may,unknown,yes
student,single,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,failure,yes
blue-collar,divorced,no,yes,no,cellular,may,failure,yes
services,single,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,yes,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
technician,divorced,no,yes,yes,cellular,may,failure,yes
management,single,no,yes,no,cellular,may,unknown,yes
blue-collar,divorced,no,yes,no,cellular,may,unknown,yes
services,divorced,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,failure,yes
technician,single,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,no,yes,no,telephone,may,unknown,yes
admin.,divorced,no,yes,no,cellular,may,success,yes
blue-collar,single,no,yes,no,cellular,may,other,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
admin.,divorced,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,other,yes
self-employed,single,no,yes,no,cellular,may,failure,yes
blue-collar,divorced,no,no,no,cellular,may,failure,yes
management,married,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,failure,yes
admin.,married,no,yes,no,cellular,may,success,yes
admin.,divorced,no,yes,yes,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,other,yes
blue-collar,married,no,yes,yes,cellular,may,failure,yes
admin.,married,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,failure,yes
management,married,no,yes,no,cellular,may,failure,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
admin.,married,no,yes,yes,cellular,may,unknown,yes
self-employed,divorced,no,yes,no,cellular,may,success,yes
admin.,divorced,no,yes,no,cellular,may,unknown,yes
management,divorced,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
blue-collar,divorced,no,yes,no,cellular,may,failure,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,unknown,yes
management,divorced,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,success,yes
admin.,single,no,yes,yes,cellular,may,unknown,yes
retired,divorced,no,no,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
services,divorced,no,yes,no,cellular,may,other,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,failure,yes
management,single,no,yes,no,cellular,may,unknown,yes
admin.,married,no,yes,no,telephone,may,other,yes
services,married,no,yes,no,cellular,may,unknown,yes
retired,married,no,yes,no,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,other,yes
services,married,no,yes,yes,cellular,may,failure,yes
retired,divorced,no,yes,no,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,failure,yes
services,single,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,failure,yes
blue-collar,married,no,yes,no,cellular,may,other,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,yes,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,other,yes
admin.,divorced,no,no,no,cellular,may,failure,yes
housemaid,married,no,yes,no,cellular,may,failure,yes
technician,married,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,other,yes
admin.,married,no,yes,no,cellular,may,failure,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,yes,cellular,may,other,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
management,single,no,no,no,cellular,may,unknown,yes
student,single,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,failure,yes
entrepreneur,married,no,yes,no,cellular,may,failure,yes
unemployed,married,no,yes,no,cellular,may,failure,yes
technician,single,no,yes,yes,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,other,yes
entrepreneur,married,yes,yes,no,cellular,may,unknown,yes
retired,divorced,no,yes,no,cellular,may,unknown,yes
student,single,no,yes,no,cellular,may,unknown,yes
management,married,no,yes,yes,cellular,may,unknown,yes
admin.,single,no,no,no,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,failure,yes
blue-collar,married,no,yes,no,cellular,may,failure,yes
entrepreneur,single,no,yes,no,cellular,may,unknown,yes
admin.,divorced,no,yes,no,cellular,may,unknown,yes
admin.,married,no,yes,no,cellular,may,failure,yes
management,single,no,yes,no,cellular,may,unknown,yes
admin.,divorced,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,other,yes
management,married,no,yes,no,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,failure,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
self-employed,single,no,yes,no,cellular,may,other,yes
services,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,failure,yes
management,single,no,yes,no,cellular,may,failure,yes
services,divorced,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,telephone,may,unknown,yes
blue-collar,married,no,yes,yes,cellular,may,failure,yes
technician,married,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,failure,yes
management,single,no,yes,no,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,failure,yes
services,single,no,yes,no,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,failure,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,yes,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,success,yes
blue-collar,single,no,yes,yes,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
admin.,single,no,yes,yes,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,unknown,yes
retired,divorced,no,no,no,cellular,may,success,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
housemaid,single,no,yes,no,cellular,may,success,yes
blue-collar,married,no,yes,no,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
entrepreneur,married,no,yes,no,cellular,may,unknown,yes
technician,divorced,no,yes,yes,cellular,may,failure,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,yes,cellular,may,failure,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
blue-collar,single,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,no,yes,yes,cellular,may,failure,yes
technician,single,no,yes,no,cellular,may,unknown,yes
blue-collar,married,no,yes,no,cellular,may,other,yes
management,married,no,yes,no,cellular,may,unknown,yes
self-employed,married,no,yes,yes,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,success,yes
services,single,no,yes,no,cellular,may,failure,yes
admin.,single,no,yes,yes,cellular,may,unknown,yes
unemployed,single,no,yes,no,cellular,may,success,yes
blue-collar,single,no,yes,no,cellular,may,unknown,yes
admin.,divorced,no,yes,yes,cellular,may,success,yes
management,married,no,no,no,cellular,may,unknown,yes
technician,single,no,no,no,cellular,may,failure,yes
admin.,married,no,no,no,cellular,may,unknown,yes
services,married,no,yes,no,cellular,may,failure,yes
management,married,no,no,no,cellular,may,unknown,yes
technician,divorced,no,yes,no,cellular,may,unknown,yes
management,single,no,yes,no,cellular,may,success,yes
services,married,no,no,no,cellular,may,failure,yes
technician,married,no,no,no,cellular,may,unknown,yes
student,single,no,no,no,cellular,may,success,yes
management,single,no,no,no,cellular,may,unknown,yes
management,divorced,no,no,no,cellular,may,success,yes
student,single,no,yes,no,cellular,may,success,yes
services,single,no,no,no,cellular,may,unknown,yes
management,single,no,no,no,cellular,may,unknown,yes
management,married,no,yes,no,cellular,may,success,yes
blue-collar,married,no,no,no,telephone,may,unknown,yes
management,married,no,no,no,cellular,may,other,yes
management,single,no,yes,no,cellular,may,other,yes
admin.,single,no,yes,no,cellular,may,success,yes
retired,divorced,no,no,yes,cellular,may,failure,yes
technician,single,no,no,no,cellular,may,unknown,yes
blue-collar,single,no,no,no,cellular,may,unknown,yes
student,single,no,no,no,cellular,may,unknown,yes
technician,single,no,no,no,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,failure,yes
management,single,no,no,no,cellular,may,unknown,yes
technician,married,no,no,no,cellular,may,unknown,yes
blue-collar,single,no,no,yes,cellular,may,success,yes
retired,divorced,no,no,no,cellular,may,unknown,yes
management,single,no,no,no,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
services,married,no,yes,yes,cellular,may,unknown,yes
services,single,no,yes,no,cellular,may,unknown,yes
technician,divorced,no,no,no,cellular,may,other,yes
technician,married,no,yes,yes,cellular,may,failure,yes
technician,single,no,yes,no,cellular,may,other,yes
technician,single,no,no,no,cellular,may,unknown,yes
student,single,no,no,no,cellular,may,unknown,yes
technician,single,no,yes,no,cellular,may,failure,yes
technician,single,no,yes,yes,cellular,may,failure,yes
student,single,no,no,no,cellular,may,success,yes
technician,married,no,no,no,cellular,may,other,yes
management,married,no,no,no,cellular,may,unknown,yes
management,married,no,no,no,cellular,may,unknown,yes
technician,single,no,no,no,cellular,may,other,yes
management,single,no,no,no,cellular,may,unknown,yes
retired,married,no,no,no,cellular,may,failure,yes
management,divorced,no,yes,no,cellular,may,other,yes
retired,married,no,no,no,telephone,may,unknown,yes
student,single,no,no,no,cellular,may,unknown,yes
student,single,no,no,no,cellular,may,unknown,yes
student,single,no,no,no,cellular,may,unknown,yes
student,single,no,no,no,cellular,may,unknown,yes
management,single,no,no,no,cellular,may,success,yes
admin.,married,no,no,no,cellular,may,unknown,yes
admin.,single,no,no,no,cellular,may,unknown,yes
self-employed,single,no,no,no,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
admin.,divorced,no,no,no,cellular,may,success,yes
admin.,married,no,no,no,cellular,may,success,yes
admin.,married,no,yes,no,cellular,may,unknown,yes
admin.,single,no,no,no,cellular,may,unknown,yes
admin.,single,no,yes,no,cellular,may,unknown,yes
admin.,single,no,no,no,cellular,may,success,yes
technician,married,no,no,no,cellular,may,other,yes
retired,divorced,no,no,no,cellular,may,unknown,yes
management,married,no,no,no,cellular,may,unknown,yes
admin.,single,no,no,no,telephone,may,unknown,yes
admin.,single,no,yes,no,cellular,may,failure,yes
student,single,no,no,no,cellular,may,unknown,yes
management,married,no,no,no,cellular,may,unknown,yes
admin.,married,no,no,no,cellular,jun,success,yes
management,married,no,no,no,cellular,jun,unknown,yes
management,married,no,yes,yes,cellular,jun,unknown,yes
unemployed,single,no,no,no,cellular,jun,unknown,yes
management,married,no,yes,no,cellular,jun,success,yes
technician,single,no,no,no,cellular,jun,unknown,yes
housemaid,divorced,no,no,no,cellular,jun,unknown,yes
blue-collar,married,no,no,no,cellular,jun,unknown,yes
management,married,no,no,no,cellular,jun,unknown,yes
admin.,married,no,no,no,cellular,jun,failure,yes
management,single,no,no,no,cellular,jun,unknown,yes
admin.,married,no,no,no,cellular,jun,unknown,yes
technician,single,no,no,no,cellular,jun,unknown,yes
technician,married,no,no,no,cellular,jun,unknown,yes
management,married,no,no,yes,cellular,jun,unknown,yes
technician,married,no,no,yes,cellular,jun,unknown,yes
management,married,no,no,no,cellular,jun,unknown,yes
technician,married,no,no,no,cellular,jun,success,yes
blue-collar,married,no,no,no,cellular,jun,unknown,yes
